index,r2,rmse,mae,r2_train,rmse_train,mae_train
34,-31.18497905467467,76.87791030282919,75.67419092826394,0.8832933617828823,0.001873016791069918,0.00151776069829872
35,-31.183587166494362,76.87624793400454,75.67252457688552,0.8947400697447874,0.0017787930751787598,0.0014396730439965462
36,-31.178679527721727,76.87038632452975,75.66698488582675,0.8960969404692962,0.0017672909727781808,0.0014703905708168782
37,-31.176341362850017,76.86759349858538,75.66376080307188,0.898946561961128,0.0017428878322843075,0.0013653507492373956
38,-31.178773204749845,76.8704982151388,75.66669280304522,0.8946136443307956,0.0017798609894596037,0.0014553025837151083
39,-31.199084166316702,76.89475438287323,75.69144008207742,0.8955666137669316,0.0017717954056006792,0.0014188282982511532
40,-31.180680766069905,76.87277662729332,75.66898327688885,0.8946830251726426,0.001779275009499136,0.0014618782225589559
41,-31.184914472648657,76.87783317160464,75.67409898570553,0.8954485696652986,0.0017727964788003872,0.001466867128952025
42,-31.218778051768503,76.91826630935594,75.71498529167809,0.9339106337078787,0.0014094824897138913,0.0010911315606490955
43,-31.196019571091107,76.89109501008923,75.68753178306726,0.914348065933875,0.0016045840767487027,0.0012735525126034556
44,-31.19510249173124,76.88999990983645,75.68638410122097,0.8996544820267419,0.001736772287105632,0.0014689816479100141
45,-31.175237615412456,76.86627508988254,75.66240163446051,0.9205545958895409,0.0015453550665864883,0.0012760554939105168
46,-31.18080978919359,76.8729307314886,75.66912388240668,0.8963834255999389,0.0017648528729366046,0.00146142657158613
47,-31.176585677315707,76.86788532525973,75.664103623096,0.9220430311563388,0.0015308102562746836,0.0012239733506632289
48,-31.173521872017808,76.86422561687567,75.66037802353159,0.9006116117838207,0.001728469477850846,0.0013700293546349148
49,-31.16900360872892,76.8588282437808,75.65499516573928,0.9142512069314742,0.00160549108778678,0.0012466413892140112
50,-31.17760530915946,76.8691032345109,75.66525759210094,0.8956164324055412,0.0017713727487878752,0.001452211867473685
51,-31.199450496109776,76.8951917984096,75.69222561204428,0.8839721384857875,0.0018675620278956657,0.0015014174199059558
52,-31.182319789152018,76.87473424049499,75.67098672121881,0.8854818941420187,0.0018553718758741206,0.001455091691219437
53,-31.186178310135837,76.87934257648074,75.67566812681471,0.8835966883764103,0.00187058117367216,0.00151591148419598
54,-31.394674367107484,77.12794564284978,75.93080552572233,0.8919252493015155,0.001802420060418456,0.0014456060259503878
55,-31.172250491246203,76.86270690430973,75.65885055720325,0.8881321315480596,0.0018337772166724482,0.0014534408786632284
56,-31.176513026829575,76.86779854643794,75.66397234640382,0.8843264100065166,0.0018647087052414627,0.0015109264790818533
57,-31.234054610227858,76.93649957592649,75.73350550500011,0.9095876718312256,0.0016485712337233496,0.0012507684887747888
58,-31.19708459419926,76.89236675294556,75.68881051293738,0.8979318640601832,0.0017516163195653788,0.0012469061811138848
59,-31.181371076161902,76.8736011245952,75.6698470836619,0.8833327955397462,0.001872700329512843,0.0015140791988253503
60,-31.2092932554297,76.90694359888164,75.70366429467069,0.9119538342017568,0.001626856006951005,0.0012885920903524918
61,-31.190422136620292,76.88441077428087,75.68077395946396,0.8833690532449452,0.0018724093090282732,0.0015031122891004086
62,-31.18430728451228,76.87710799446533,75.67346642029726,0.9212091590061791,0.0015389756881232757,0.00121410316109851
63,-31.17387088168968,76.86464251692031,75.66079989264519,0.8918968006666879,0.0018026572713110672,0.0014135013779949057
64,-31.17231672024767,76.8627860181055,75.65901140538524,0.9143373038886153,0.0016046848804505407,0.0012368489324318022
