index,r2,rmse,mae,r2_train,rmse_train,mae_train
977,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
978,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
979,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
980,-31.074291557641146,76.74560087580838,75.53979709006798,0.07091712224234958,0.00528470950210947,0.004677220941988313
981,-31.073232798541603,76.74433419508229,75.53874481972512,0.3028999109229884,0.004577638153685522,0.003758883173526328
982,-31.07348094185108,76.74463107124,75.53898831051791,0.2894348104901253,0.004621637250182131,0.003996146028504876
983,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
984,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
985,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
986,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
987,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
988,-31.074291557641146,76.74560087580838,75.53979709006798,0.07091712224234958,0.00528470950210947,0.004677220941988313
989,-31.073232798541603,76.74433419508229,75.53874481972512,0.3028999109229884,0.004577638153685522,0.003758883173526328
990,-31.07348094185108,76.74463107124,75.53898831051791,0.2894348104901253,0.004621637250182131,0.003996146028504876
991,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
992,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
993,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
994,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
995,-31.074291557641146,76.74560087580838,75.53979709006798,0.07091712224234958,0.00528470950210947,0.004677220941988313
996,-31.073232798541603,76.74433419508229,75.53874481972512,0.3028999109229884,0.004577638153685522,0.003758883173526328
997,-31.07348094185108,76.74463107124,75.53898831051791,0.2894348104901253,0.004621637250182131,0.003996146028504876
998,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
999,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
1000,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
1001,-31.074291557641146,76.74560087580838,75.53979709006798,0.07091712224234958,0.00528470950210947,0.004677220941988313
1002,-31.073232798541603,76.74433419508229,75.53874481972512,0.3028999109229884,0.004577638153685522,0.003758883173526328
1003,-31.07348094185108,76.74463107124,75.53898831051791,0.2894348104901253,0.004621637250182131,0.003996146028504876
1004,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
1005,-31.074594548568413,76.74596336496602,75.54012337662338,0.0,0.00548269252788919,0.004842975206611574
1006,-31.074291557641146,76.74560087580838,75.53979709006798,0.07091712224234958,0.00528470950210947,0.004677220941988313
1007,-31.073232798541603,76.74433419508229,75.53874481972512,0.3028999109229884,0.004577638153685522,0.003758883173526328
1008,-31.07348094185108,76.74463107124,75.53898831051791,0.2894348104901253,0.004621637250182131,0.003996146028504876
