index,SMILES,lambdamax,Tt,Ts,E0t,E0s,Ered,Eox,*Eredt,*Ereds,*Eoxt,*Eoxs,Name,Unnamed: 14,Unnamed: 15
117,O=C1OC2=C(C=CC(C#CC3=CC=CC=C3)=C2)C4=CC5=C(C=CC=C5)C(C6=CC=CC=C6)=C41,,,,,,-1.7,1.64,-1.48,,1.42,,NCE_3,,
118,O=C1OC2=C(C=CC(C#CC3=CC=C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)C=C3)=C2)C7=CC8=C(C=CC=C8)C(C9=CC=CC=C9)=C71,,,,,,-1.59,1.35,-1.77,,1.53,,NCE_4,,
119,C12C=CC=CC1N(C3=CC=CC=C3)C4=CC=CC=C4N2C5=CC=CC=C5,,,,,,,0.19,-2.47,,,,PA_1,,
120,N#CC(C=C1)=CC=C1N2C3=CC=CC=C3N(C4=CC=C(C#N)C=C4)C5C=CC=CC25,,,,,,,0.23,-1.64,,,,PA_2,,
121,O=C(NC(C1=CC=C2C3=CC=C4C(N5)=O)=O)C(C=C6)=C1C2=C6C7=C3C4=C(C=C7)C5=O,,,,,,-0.58255,,,,1.75,,PDI_1,,
122,O=C(N(C)C(C1=CC=C2C3=CC=C4C(N5C)=O)=O)C(C=C6)=C1C2=C6C7=C3C4=C(C=C7)C5=O,,,,,,-0.42067,,,,1.9,,PDI_2,,
123,O=C(N(S(C1=CC=CC=C1)(=O)=O)C(C2=CC=C3C4=CC=C5C(N6S(C7=CC=CC=C7)(=O)=O)=O)=O)C(C=C8)=C2C3=C8C9=C4C5=C(C=C9)C6=O,,,,,,0.112162,,,,2.32,,PDI_3,,
124,C1(C=CC(C2=CC=C(C3=CC=CC=C3)C=C2)=C4)=C4OC(C=C(C5=CC=C(C6=CC=CC=C6)C=C5)C=C7)=C7N1C8=C(C=CC=C9)C9=CC=C8,,,,,,,0.63,-2.03,,,,POZ_1,,
125,C1(C=CC=C2)=C2OC(C=CC=C3)=C3N1C4=CC=CC=C4,,,,,,,0.65,-2.25,,,,POZ_3,,
126,C12=CC=CC=C1SC(C=CC=C3)=C3N2C4=CC=CC=C4,,,,,,,0.815,-1.97,,,,PTZ_1,,
127,O=C(C=CC(C(N)=O)=C1)N1N2C3=C(C=CC=C3)SC4=CC=CC=C42,,,,,,,0.903,-1.53,,,,PTZ_2,,
128,C12=CC(C=CC=C3)=C3C=C1SC(C=CC=C4)=C4N2C5=CC=CC=C5,,,,,,,0.902,-1.92,,,,PTZ_3,,
129,C[N+]1=C2C(C=CC(N(C)C)=C2)=C(C3=CC=CC=C3)C4=C1C=CC=C4OC,,,,,,-0.83,,,,1.47,,Ph-Acr_1,,
130,C[N+]1=C2C(C=CC=C2)=C(C3=CC=CC=C3)C4=C1C=CC=C4OC,,,,,,-0.48,,,,1.81,,Ph-Acr_2,,
131,CC1=C(NCC)C=C2C(C(C3=C(C(OCC)=O)C=CC=C3)=C(C=C/4C)C(O2)=CC4=[NH+]\CC)=C1,,,,,,-0.95,1.4,-0.8,,1.25,,Rh_6G,,
132,CC1=C(N(CC)CC)C=C2C(C(C3=C(C(O)=O)C=CC=C3)=C(C=C/4C)C(O2)=CC4=[N+](CC)\CC)=C1,,,,,,-0.87,1.18,-1.05,,1.36,,Rh_B,,
