name,KernelRidge,SupportVector,RandomForest,GradientBoosting,KNeighbors,MultilayerPerceptron,HistGradientBoosting
CDK,0.371548138342736,0.3423663538361778,0.3412305764369744,0.3117533991410485,0.4072322352941177,0.3509725304779633,0.3970940839301481
CDKextended,0.3579299955938147,0.3630503257471754,0.3774148978039213,0.3186073638060973,0.4033498823529412,0.3705827239867558,0.4191413527473967
E_CDKex_sub,0.3282915692586847,0.4112454846097194,0.2963848334005602,0.2663889831242466,0.4430773741176471,0.2982478780599803,0.3765929047183247
E_MACCS_sub,0.3042809011948352,0.4741197521446795,0.2688606138263305,0.2335771099456083,0.4358418447058823,0.2949416666897016,0.3893081849572095
EState,0.403780078093564,0.3753807299520389,0.3477347658361767,0.3062691440053177,0.3744093694117647,0.3722506602848355,0.5179866985925778
MACCS,0.2881493903568913,0.3526806251836375,0.2621166795630251,0.2728212237315712,0.382956545882353,0.3519799652015695,0.423106686959773
PubChem,0.337165524965951,0.3491852111974901,0.2952872175611577,0.2995272353009242,0.4264029835294118,0.3160038960819699,0.4330318413901783
Substructure,0.3755408361362224,0.3539708995524218,0.3320002994618451,0.3861623775974757,0.3627977270588235,0.3534437828230888,0.5082950033311048
SubstructureCount,0.4848811767885909,0.5073311065026479,0.2396132593185637,0.2773842595115772,0.4525807670588236,0.4476824450755138,0.4478278136646021
