,feature1,feature2,feature3
121,HOMO,Volavg X,NBOC4
122,HOMO,Volavg X,νCNssy
123,HOMO,Volavg X,iCNssy
124,HOMO,Volavg X,νCNsas
125,HOMO,Volavg X,iCNsas
126,HOMO,NBOC1,NBON1
127,HOMO,NBOC1,NBOC2
128,HOMO,NBOC1,NBOC3
129,HOMO,NBOC1,NBOX
130,HOMO,NBOC1,NBOC4
131,HOMO,NBOC1,νCNssy
132,HOMO,NBOC1,iCNssy
133,HOMO,NBOC1,νCNsas
134,HOMO,NBOC1,iCNsas
135,HOMO,NBON1,NBOC2
136,HOMO,NBON1,NBOC3
137,HOMO,NBON1,NBOX
138,HOMO,NBON1,NBOC4
139,HOMO,NBON1,νCNssy
140,HOMO,NBON1,iCNssy
141,HOMO,NBON1,νCNsas
142,HOMO,NBON1,iCNsas
143,HOMO,NBOC2,NBOC3
144,HOMO,NBOC2,NBOX
145,HOMO,NBOC2,NBOC4
146,HOMO,NBOC2,νCNssy
147,HOMO,NBOC2,iCNssy
148,HOMO,NBOC2,νCNsas
149,HOMO,NBOC2,iCNsas
150,HOMO,NBOC3,NBOX
151,HOMO,NBOC3,NBOC4
152,HOMO,NBOC3,νCNssy
153,HOMO,NBOC3,iCNssy
154,HOMO,NBOC3,νCNsas
155,HOMO,NBOC3,iCNsas
156,HOMO,NBOX,NBOC4
157,HOMO,NBOX,νCNssy
158,HOMO,NBOX,iCNssy
159,HOMO,NBOX,νCNsas
160,HOMO,NBOX,iCNsas
161,HOMO,NBOC4,νCNssy
162,HOMO,NBOC4,iCNssy
163,HOMO,NBOC4,νCNsas
164,HOMO,NBOC4,iCNsas
165,HOMO,νCNssy,iCNssy
166,HOMO,νCNssy,νCNsas
167,HOMO,νCNssy,iCNsas
168,HOMO,iCNssy,νCNsas
169,HOMO,iCNssy,iCNsas
170,HOMO,νCNsas,iCNsas
171,LUMO,softness,Dipole
172,LUMO,softness,Pol
173,LUMO,softness,Torsion
174,LUMO,softness,B1
175,LUMO,softness,B5
176,LUMO,softness,BL
177,LUMO,softness,Volavg X
178,LUMO,softness,NBOC1
179,LUMO,softness,NBON1
180,LUMO,softness,NBOC2
181,LUMO,softness,NBOC3
182,LUMO,softness,NBOX
183,LUMO,softness,NBOC4
184,LUMO,softness,νCNssy
185,LUMO,softness,iCNssy
186,LUMO,softness,νCNsas
187,LUMO,softness,iCNsas
188,LUMO,Dipole,Pol
189,LUMO,Dipole,Torsion
190,LUMO,Dipole,B1
191,LUMO,Dipole,B5
192,LUMO,Dipole,BL
193,LUMO,Dipole,Volavg X
194,LUMO,Dipole,NBOC1
195,LUMO,Dipole,NBON1
196,LUMO,Dipole,NBOC2
197,LUMO,Dipole,NBOC3
198,LUMO,Dipole,NBOX
199,LUMO,Dipole,NBOC4
200,LUMO,Dipole,νCNssy
201,LUMO,Dipole,iCNssy
202,LUMO,Dipole,νCNsas
203,LUMO,Dipole,iCNsas
204,LUMO,Pol,Torsion
205,LUMO,Pol,B1
206,LUMO,Pol,B5
207,LUMO,Pol,BL
208,LUMO,Pol,Volavg X
209,LUMO,Pol,NBOC1
210,LUMO,Pol,NBON1
211,LUMO,Pol,NBOC2
212,LUMO,Pol,NBOC3
213,LUMO,Pol,NBOX
214,LUMO,Pol,NBOC4
215,LUMO,Pol,νCNssy
216,LUMO,Pol,iCNssy
217,LUMO,Pol,νCNsas
218,LUMO,Pol,iCNsas
219,LUMO,Torsion,B1
220,LUMO,Torsion,B5
221,LUMO,Torsion,BL
222,LUMO,Torsion,Volavg X
