name,KR,SVM,RF,GBRT
MACCS,40.82201079083268,50.24609944065987,27.684872904543358,31.22772852277397
PubChem,35.72844725968646,55.30580758059613,26.78904960694482,31.562250041346196
CDK,33.87876290192862,58.474346041851206,28.461405068022344,27.129369915781194
CDKex,36.55548779786772,68.77323662616452,21.197335583255125,26.82283881608793
E_MACCS_sub,34.394722467764765,65.42850688521276,21.717322743022834,27.2694614992905
E_Morgan_sub,36.48444952966514,65.20914404423758,24.517819631292237,30.101281512527006
E_CDKex_sub,35.651883915364756,66.4789985703572,20.665452484776257,27.724208602847078
