name,KR,SVM,RF,GBRT
MACCS,34.91742849,46.14179463,16.41772932,21.88186165
PubChem,26.34252156,56.00829383,14.7408863,20.56561904
CDK,25.16905779,50.17965327,14.64067309,17.00687386
CDKex,23.16657814,74.10025529,15.26995258,15.7691013
E_MACCS_sub,24.70408035,72.57578984,13.09357773,17.37973503
E_Morgan_sub,24.76476819,72.38656103,14.82124987,20.59422346
E_CDKex_sub,22.43060106,69.83201976,13.22733408,14.81682737
